endcap	station	ring	chamber	new anode_bx_offset
1	1	1	1	807.001
1	1	1	10	818.514
1	1	1	11	808.888
1	1	1	12	801.088
1	1	1	13	808.493
1	1	1	14	815.166
1	1	1	15	811.13
1	1	1	16	812.381
1	1	1	17	812.742
1	1	1	18	812.154
1	1	1	19	809.699
1	1	1	2	812.729
1	1	1	20	808.569
1	1	1	21	811.095
1	1	1	22	820.007
1	1	1	23	812.013
1	1	1	24	811.267
1	1	1	25	802.791
1	1	1	26	804.451
1	1	1	27	807.422
1	1	1	28	807.015
1	1	1	29	811.033
1	1	1	3	805.28
1	1	1	30	807.339
1	1	1	31	817.927
1	1	1	32	814.971
1	1	1	33	814.965
1	1	1	34	809.983
1	1	1	35	808.873
1	1	1	36	809.766
1	1	1	4	811.335
1	1	1	5	805.037
1	1	1	6	810.723
1	1	1	7	808.112
1	1	1	8	810.173
1	1	1	9	812.268
1	1	2	1	816.959
1	1	2	10	799.649
1	1	2	11	810.768
1	1	2	12	814.645
1	1	2	13	816.115
1	1	2	14	815.601
1	1	2	15	813.885
1	1	2	16	814.035
1	1	2	17	810.04
1	1	2	18	815.517
1	1	2	19	815.577
1	1	2	2	813.028
1	1	2	20	813.358
1	1	2	21	811.582
1	1	2	22	817.894
1	1	2	23	809.817
1	1	2	24	815.285
1	1	2	25	817.739
1	1	2	26	812.207
1	1	2	27	814.963
1	1	2	28	813.113
1	1	2	29	814.212
1	1	2	3	812.48
1	1	2	30	815.69
1	1	2	31	812.114
1	1	2	32	814.056
1	1	2	33	816.436
1	1	2	34	813.111
1	1	2	35	816.911
1	1	2	36	817.648
1	1	2	4	814.289
1	1	2	5	809.253
1	1	2	6	813.788
1	1	2	7	810.922
1	1	2	8	818.315
1	1	2	9	813.026
1	1	3	1	820.403
1	1	3	10	809.053
1	1	3	11	814.222
1	1	3	12	810.022
1	1	3	13	804.328
1	1	3	14	809.93
1	1	3	15	818.249
1	1	3	16	804.886
1	1	3	17	808.833
1	1	3	18	812.475
1	1	3	19	816.727
1	1	3	2	821.539
1	1	3	20	811.003
1	1	3	21	819.211
1	1	3	22	811.566
1	1	3	23	802.932
1	1	3	24	812.546
1	1	3	25	814.905
1	1	3	26	817.741
1	1	3	27	807.841
1	1	3	28	806.347
1	1	3	29	808.128
1	1	3	3	811.428
1	1	3	30	806.784
1	1	3	31	814.998
1	1	3	32	810.765
1	1	3	33	792.207
1	1	3	34	816.035
1	1	3	35	812.582
1	1	3	36	811.42
1	1	3	4	809.715
1	1	3	5	809.184
1	1	3	6	810.186
1	1	3	7	812.346
1	1	3	8	804.212
1	1	3	9	805.162
1	2	1	1	812.721
1	2	1	10	809.939
1	2	1	11	806.52
1	2	1	12	809.09
1	2	1	13	811.677
1	2	1	14	809.876
1	2	1	15	809.911
1	2	1	16	803.479
1	2	1	2	800.228
1	2	1	3	804.976
1	2	1	4	808.814
1	2	1	5	813.861
1	2	1	6	806.335
1	2	1	7	805.978
1	2	1	8	810.712
1	2	1	9	808.433
1	2	2	1	804.907
1	2	2	10	812.568
1	2	2	11	809.94
1	2	2	12	809.868
1	2	2	13	811.852
1	2	2	14	811.135
1	2	2	15	808.491
1	2	2	16	812.559
1	2	2	17	813.373
1	2	2	18	807.54
1	2	2	19	822.411
1	2	2	2	810.062
1	2	2	20	818.692
1	2	2	21	807.74
1	2	2	22	816.848
1	2	2	23	809.788
1	2	2	24	810.355
1	2	2	25	811.574
1	2	2	26	810.156
1	2	2	27	813.879
1	2	2	28	810.431
1	2	2	29	815.697
1	2	2	3	814.007
1	2	2	30	817.005
1	2	2	31	802.607
1	2	2	32	810.716
1	2	2	33	810.076
1	2	2	34	822.362
1	2	2	35	817.896
1	2	2	36	810.902
1	2	2	4	816.41
1	2	2	5	814.235
1	2	2	6	815.413
1	2	2	7	812.727
1	2	2	8	809.994
1	2	2	9	812.444
1	3	1	1	813.327
1	3	1	10	803.717
