endcap	 station	 ring	 chamber	 new rev	 new length	 new delay
1	1	1	1	D	1458	7583
1	1	1	2	D	1508	7843
1	1	1	3	D	1458	7583
1	1	1	4	D	1408	7323
1	1	1	5	D	1358	7063
1	1	1	6	D	1408	7323
1	1	1	7	D	1358	7063
1	1	1	8	D	1408	7323
1	1	1	9	D	1458	7583
1	1	1	10	D	1508	7843
1	1	1	11	D	1458	7583
1	1	1	12	D	1408	7323
1	1	1	13	D	1258	6543
1	1	1	14	D	1308	6803
1	1	1	15	D	1558	8103
1	1	1	16	D	1508	7843
1	1	1	17	D	1458	7583
1	1	1	18	D	1508	7843
1	1	1	19	D	1458	7583
1	1	1	20	D	1508	7843
1	1	1	21	D	1458	7583
1	1	1	22	D	1408	7323
1	1	1	23	D	1358	7063
1	1	1	24	D	1308	6803
1	1	1	25	D	1258	6543
1	1	1	26	D	1258	6543
1	1	1	27	D	1458	7583
1	1	1	28	D	1408	7323
1	1	1	29	D	1358	7063
1	1	1	30	D	1308	6803
1	1	1	31	D	1258	6543
1	1	1	32	D	1308	6803
1	1	1	33	D	1558	8103
1	1	1	34	D	1508	7843
1	1	1	35	D	1458	7583
1	1	1	36	D	1508	7843
2	1	1	1	D	1508	7843
2	1	1	2	D	1508	7843
2	1	1	3	D	1458	7583
2	1	1	4	D	1508	7843
2	1	1	5	D	1358	7063
2	1	1	6	D	1408	7323
2	1	1	7	D	1358	7063
2	1	1	8	D	1408	7323
2	1	1	9	D	1458	7583
2	1	1	10	D	1508	7843
2	1	1	11	D	1458	7583
2	1	1	12	D	1308	6803
2	1	1	13	D	1258	6543
2	1	1	14	D	1308	6803
2	1	1	15	D	1558	8103
2	1	1	16	D	1608	8363
2	1	1	17	D	1458	7583
2	1	1	18	D	1508	7843
2	1	1	19	D	1458	7583
2	1	1	20	D	1508	7843
2	1	1	21	D	1458	7583
2	1	1	22	D	1508	7843
2	1	1	23	D	1358	7063
2	1	1	24	D	1408	7323
2	1	1	25	D	1258	6543
2	1	1	26	D	1308	6803
2	1	1	27	D	1358	7063
2	1	1	28	D	1408	7323
2	1	1	29	D	1408	7323
2	1	1	30	D	1308	6803
2	1	1	31	D	1308	6803
2	1	1	32	D	1308	6803
2	1	1	33	D	1558	8103
2	1	1	34	D	1508	7843
2	1	1	35	D	1458	7583
2	1	1	36	D	1508	7843
