endcap	station	ring	chamber	corr
1	1	1	1	-236.157
1	1	1	2	-234.471
1	1	1	3	-237.201
1	1	1	4	-231.721
1	1	1	5	-238.125
1	1	1	6	-237.366
1	1	1	7	-238.433
1	1	1	8	-237.04
1	1	1	9	-234.22
1	1	1	10	-232.345
1	1	1	11	-233.127
1	1	1	12	-237.626
1	1	1	13	-238.1
1	1	1	14	-236.438
1	1	1	15	-236.327
1	1	1	16	-235.729
1	1	1	17	-236.327
1	1	1	18	-236.22
1	1	1	19	-236.669
1	1	1	20	-236.36
1	1	1	21	-234.262
1	1	1	22	-233.799
1	1	1	23	-235.732
1	1	1	24	-230.252
1	1	1	25	-236.204
1	1	1	26	-235.59
1	1	1	27	-242.994
1	1	1	28	-236.983
1	1	1	29	-243.082
1	1	1	30	-236.777
1	1	1	31	-236.671
1	1	1	32	-235.483
1	1	1	33	-236.894
1	1	1	34	-235.852
1	1	1	35	-236.458
1	1	1	36	-235.86
1	1	2	1	-216.325
1	1	2	2	-216.39
1	1	2	3	-216.763
1	1	2	4	-217.71
1	1	2	5	-217.423
1	1	2	6	-218.839
1	1	2	7	-218.589
1	1	2	8	-218.969
1	1	2	9	-214.014
1	1	2	10	-213.413
1	1	2	11	-213.398
1	1	2	12	-217.662
1	1	2	13	-217.155
1	1	2	14	-217.94
1	1	2	15	-212.374
1	1	2	16	-216.95
1	1	2	17	-216.379
1	1	2	18	-215.671
1	1	2	19	-215.86
1	1	2	20	-216.577
1	1	2	21	-214.471
1	1	2	22	-214.261
1	1	2	23	-214.613
1	1	2	24	-216.333
1	1	2	25	-216.24
1	1	2	26	-216.044
1	1	2	27	-217.697
1	1	2	28	-217.852
1	1	2	29	-217.3
1	1	2	30	-215.921
1	1	2	31	-217.264
1	1	2	32	-216.28
1	1	2	33	-216.078
1	1	2	34	-216.633
1	1	2	35	-216.784
1	1	2	36	-212.76
1	1	3	1	-215.566
1	1	3	2	-216.285
1	1	3	3	-218.794
1	1	3	4	-218.83
1	1	3	5	-218.452
1	1	3	6	-219.377
1	1	3	7	-219.965
1	1	3	8	-220.226
1	1	3	9	-214.595
1	1	3	10	-214.946
1	1	3	11	-215.461
1	1	3	12	-219.103
1	1	3	13	-218.233
1	1	3	14	-218.405
1	1	3	15	-218.705
1	1	3	16	-242.646
1	1	3	17	-215.773
1	1	3	18	-214.59
1	1	3	19	-217.676
1	1	3	20	-217.37
1	1	3	21	-216.124
1	1	3	22	-215.134
1	1	3	23	-215.822
1	1	3	24	-217.783
1	1	3	25	-217.699
1	1	3	26	-217.344
1	1	3	27	-218.837
1	1	3	28	-219.21
1	1	3	29	-218.695
1	1	3	30	-216.287
1	1	3	31	-218.249
1	1	3	32	-218.27
1	1	3	33	-217.113
1	1	3	34	-217.369
1	1	3	35	-216.861
1	1	3	36	-217.441
1	2	1	1	-213.488
1	2	1	2	-215.781
1	2	1	3	-214.456
1	2	1	4	-215.69
1	2	1	5	-215.555
1	2	1	6	-216.002
1	2	1	7	-215.921
1	2	1	8	-214.364
1	2	1	9	-213.372
1	2	1	10	-214.346
1	2	1	11	-211.336
1	2	1	12	-212.175
1	2	1	13	-213.083
1	2	1	14	-216.78
1	2	1	15	-217
1	2	1	16	-218.875
1	2	1	17	-213.58
1	2	1	18	-213.637
1	2	2	1	-213.177
1	2	2	2	-212.342
1	2	2	3	-215.024
1	2	2	4	-215.8
1	2	2	5	-214.355
1	2	2	6	-216.19
1	2	2	7	-214.679
1	2	2	8	-213.822
1	2	2	9	-215.614
1	2	2	10	-216.03
1	2	2	11	-214.904
1	2	2	12	-215.708
1	2	2	13	-214.806
1	2	2	14	-214.436
1	2	2	15	-214.38
1	2	2	16	-213.805
1	2	2	17	-213.116
1	2	2	18	-215.424
1	2	2	19	-213.115
1	2	2	20	-213.198
1	2	2	21	-211.297
1	2	2	22	-211.234
1	2	2	23	-210.966
1	2	2	24	-211.61
1	2	2	25	-212.115
1	2	2	26	-210.888
1	2	2	27	-217.48
1	2	2	28	-216.858
1	2	2	29	-215.833
1	2	2	30	-216.906
1	2	2	31	-215.593
1	2	2	32	-215.695
1	2	2	33	-212.721
1	2	2	34	-213.041
1	2	2	35	-212.552
1	2	2	36	-213.514
1	3	1	1	-216.541
1	3	1	2	-217.725
1	3	1	3	-216.348
1	3	1	4	-216.682
1	3	1	5	-217.774
1	3	1	6	-217.501
1	3	1	7	-216.97
1	3	1	8	-214.502
1	3	1	9	-214.168
1	3	1	10	-213.308
1	3	1	11	-204.988
1	3	1	12	-205.098
1	3	1	13	-205.167
1	3	1	14	-215.243
1	3	1	15	-215.355
1	3	1	16	-215.018
1	3	1	17	-216.215
1	3	1	18	-216.64
1	3	2	1	-216.467
1	3	2	2	-216.166
1	3	2	3	-216.426
1	3	2	4	-216.812
1	3	2	5	-215.24
1	3	2	6	-217.535
1	3	2	7	-215.902
1	3	2	8	-215.953
1	3	2	9	-217.336
1	3	2	10	-217.428
1	3	2	11	-216.533
1	3	2	12	-217.725
1	3	2	13	-217.021
1	3	2	14	-216.692
1	3	2	15	-213.455
1	3	2	16	-214.181
1	3	2	17	-213.769
1	3	2	18	-216.011
1	3	2	19	-213.975
1	3	2	20	-213.488
1	3	2	21	-203.478
1	3	2	22	-203.552
1	3	2	23	-202.722
1	3	2	24	-203.658
1	3	2	25	-203.625
1	3	2	26	-203.558
1	3	2	27	-215.236
1	3	2	28	-212.798
1	3	2	29	-213.827
1	3	2	30	-215.915
1	3	2	31	-215.197
1	3	2	32	-216.292
1	3	2	33	-215.697
1	3	2	34	-215.031
1	3	2	35	-215.424
1	3	2	36	-216.277
1	4	1	1	-215.539
1	4	1	2	-213.67
1	4	1	3	-214.006
1	4	1	4	-214.051
1	4	1	5	-216.432
1	4	1	6	-216.055
1	4	1	7	-216.286
1	4	1	8	-214.761
1	4	1	9	-214.044
1	4	1	10	-214.275
1	4	1	11	-215.125
1	4	1	12	-214.436
1	4	1	13	-214.541
1	4	1	14	-215.136
1	4	1	15	-216.241
1	4	1	16	-215.41
1	4	1	17	-215.55
1	4	1	18	-215.729
1	4	2	1	-220.153
1	4	2	2	-219.994
1	4	2	3	-219.528
1	4	2	4	-219.708
1	4	2	5	-218.398
1	4	2	6	-218.791
1	4	2	7	-218.691
1	4	2	8	-217.114
1	4	2	9	-215.881
1	4	2	10	-214.986
1	4	2	11	-214.25
1	4	2	12	-213.267
1	4	2	13	-215.27
1	4	2	14	-219.969
1	4	2	15	-219.297
1	4	2	16	-218.85
1	4	2	17	-218.022
1	4	2	18	-219.249
1	4	2	19	-218.247
1	4	2	20	-221.081
1	4	2	21	-219.92
1	4	2	22	-220.348
1	4	2	23	-219.021
1	4	2	24	-219.467
1	4	2	25	-220.036
1	4	2	26	-220.276
1	4	2	27	-219.722
1	4	2	28	-217.854
1	4	2	29	-221.439
1	4	2	30	-220.613
1	4	2	31	-219.292
1	4	2	32	-221.14
1	4	2	33	-219.64
1	4	2	34	-218.572
1	4	2	35	-220.881
1	4	2	36	-219.999
2	1	1	1	-235.507
2	1	1	2	-234.827
2	1	1	3	-236.202
2	1	1	4	-235.902
2	1	1	5	-237.741
2	1	1	6	-233.674
2	1	1	7	-235.77
2	1	1	8	-234.34
2	1	1	9	-239.357
2	1	1	10	-235.886
2	1	1	11	-237.649
2	1	1	12	-237.082
2	1	1	13	-237.726
2	1	1	14	-236.428
2	1	1	15	-238.151
2	1	1	16	-237.942
2	1	1	17	-240.576
2	1	1	18	-234.75
2	1	1	19	-235.337
