endcap	station	ring	chamber	corr
1	1	1	1	-236.518
1	1	1	10	-232.502
1	1	1	11	-234.473
1	1	1	12	-238.017
1	1	1	13	-239.428
1	1	1	14	-237.873
1	1	1	15	-237.545
1	1	1	16	-235.488
1	1	1	17	-237.961
1	1	1	18	-237.248
1	1	1	19	-237.011
1	1	1	21	-234.726
1	1	1	22	-234.672
1	1	1	23	-236.678
1	1	1	24	-230.311
1	1	1	25	-238.454
1	1	1	26	-235.788
1	1	1	27	-244.27
1	1	1	28	-238.071
1	1	1	29	-244.625
1	1	1	3	-236.753
1	1	1	30	-238.597
1	1	1	31	-237.547
1	1	1	32	-237.505
1	1	1	33	-236.977
1	1	1	34	-236.408
1	1	1	35	-237.414
1	1	1	36	-236.59
1	1	1	4	-232.322
1	1	1	5	-239.614
1	1	1	7	-239.865
1	1	1	8	-238.04
1	1	1	9	-235.048
1	1	2	1	-217.758
1	1	2	10	-214.864
1	1	2	11	-214.566
1	1	2	12	-219.299
1	1	2	13	-218.807
1	1	2	14	-218.872
1	1	2	16	-218.152
1	1	2	17	-217.584
1	1	2	18	-217.351
1	1	2	19	-217.258
1	1	2	2	-217.422
1	1	2	20	-217.64
1	1	2	21	-215.606
1	1	2	22	-215.691
1	1	2	23	-215.857
1	1	2	24	-217.354
1	1	2	25	-217.885
1	1	2	26	-216.778
1	1	2	27	-218.892
1	1	2	28	-218.718
1	1	2	29	-218.385
1	1	2	3	-217.913
1	1	2	30	-217.658
1	1	2	31	-218.732
1	1	2	32	-217.775
1	1	2	33	-217.469
1	1	2	34	-217.908
1	1	2	35	-218.152
1	1	2	4	-218.934
1	1	2	5	-218.572
1	1	2	6	-219.976
1	1	2	7	-219.984
1	1	2	8	-219.752
1	1	2	9	-215.254
1	1	3	1	-216.281
1	1	3	10	-215.315
1	1	3	11	-215.816
1	1	3	12	-220.482
1	1	3	13	-220.08
1	1	3	14	-219.302
1	1	3	15	-220.486
1	1	3	16	-219.746
1	1	3	17	-219.419
1	1	3	18	-214.867
1	1	3	19	-218.183
1	1	3	2	-218.25
1	1	3	20	-218.382
1	1	3	21	-217.259
1	1	3	22	-215.802
1	1	3	23	-217.866
